Розіграш	Дата проведення	Лототрон	Комплект кульок	Кулька номер 1	Кулька номер 2	Кулька номер 3	Кулька номер 4	Кулька номер 5	к-ть переможців в категорії 5х5	приз в категорії 5х5	к-ть переможців в категорії 4х5	приз в категорії 4х5	к-ть переможців в категорії 3х5	приз в категорії 3х5	к-ть переможців в категорії 2х5	приз в категорії 2х5
1625	2019-03-21	А	3	14	36	3	25	5	0	181000	2	9423	212	83	2594	8
1624	2019-03-19	Б	3	23	38	22	44	12	0	168000	3	5478	113	137	1834	8
1623	2019-03-18	Б	1	24	29	28	33	27	0	157000	7	1860	174	70	1905	8
1622	2019-03-17	Б	3	22	31	28	25	35	0	139000	4	4554	148	116	2065	8
1621	2019-03-15	А	4	37	19	40	36	16	0	128000	3	4461	117	108	1581	8
1620	2019-03-14	Б	1	12	3	40	36	24	0	111000	5	3802	171	105	2067	8
1619	2019-03-12	А	4	22	43	4	10	36	0	99000	3	4800	93	146	1407	8
1618	2019-03-11	А	3	9	18	43	22	44	0	88000	2	5868	59	187	1249	8
1617	2019-03-10	А	3	15	42	21	23	13	0	74000	1	15320	116	124	2055	8
1616	2019-03-08	А	3	45	26	13	6	40	0	65000	1	10220	91	106	1163	8
1615	2019-03-07	Б	1	24	43	34	2	38	0	50000	2	8119	113	135	1703	8
1614	2019-03-05	А	2	14	11	1	20	13	1	338000	7	2583	209	81	2496	8
1613	2019-03-04	Б	3	9	4	38	6	11	0	308000	0	0	137	108	1798	8
1612	2019-03-03	А	1	4	32	28	23	35	0	289000	6	3474	184	106	2630	8
1611	2019-03-01	Б	3	44	39	7	23	33	0	276000	4	3920	107	138	1709	8
1610	2019-02-28	А	1	12	44	26	9	23	0	260000	3	6257	197	90	2598	8
1609	2019-02-26	Б	3	6	4	14	31	15	0	245000	5	3482	137	120	1979	8
1608	2019-02-25	А	2	17	38	43	18	6	0	232000	4	3402	87	147	1476	8
1607	2019-02-24	Б	3	36	43	7	3	26	0	215000	6	3161	183	97	2358	8
1606	2019-02-22	Б	3	26	24	36	12	23	0	187000	0	0	121	119	1567	8
1605	2019-02-21	А	3	23	30	22	45	21	0	168000	1	20828	172	114	2418	8
1604	2019-02-19	Б	2	6	45	29	20	38	0	154000	6	2841	123	130	1851	8
1603	2019-02-18	А	4	24	15	7	26	21	0	141000	4	3024	175	65	1849	8
1602	2019-02-17	А	3	8	32	39	18	38	0	120000	4	4465	161	104	1859	8
1601	2019-02-15	А	1	16	44	19	10	25	0	109000	4	3312	126	99	1580	8
1600	2019-02-14	А	1	26	4	38	8	18	0	93000	5	3494	172	95	2150	8
1599	2019-02-12	Б	2	10	39	36	34	40	0	80000	2	7504	115	123	1586	8
1598	2019-02-11	Б	1	38	37	41	32	17	0	68000	2	6093	82	140	1344	8
1597	2019-02-10	Б	1	10	24	39	32	14	0	50000	4	4903	185	100	2375	8
1596	2019-02-08	А	3	13	12	37	42	9	1	1104000	4	6065	199	115	2683	8
1595	2019-02-07	А	4	31	36	45	18	19	0	1078000	7	5245	275	126	3972	8
1594	2019-02-05	А	1	8	20	38	24	37	0	1058000	13	2276	276	101	3670	8
1593	2019-02-04	Б	4	16	30	38	10	5	0	1044000	1	18324	254	68	2605	8
1592	2019-02-03	А	4	12	45	26	34	42	0	1019000	4	8495	221	145	3434	8
1591	2019-02-01	Б	3	26	16	25	35	32	0	1003000	9	2623	194	114	2349	8
1590	2019-01-31	А	4	13	37	7	31	16	0	974000	11	2930	289	105	3842	8
1589	2019-01-29	Б	1	26	3	36	31	34	0	949000	13	2291	276	101	3359	8
1588	2019-01-28	А	4	25	20	9	36	22	0	938000	5	3429	147	110	2158	8
1587	2019-01-27	Б	2	9	33	40	12	16	0	911000	11	3954	499	82	6732	8
1586	2019-01-24	А	4	11	34	15	6	30	0	883000	13	2949	420	86	5009	8
1585	2019-01-22	Б	3	23	44	32	19	17	0	861000	6	5259	295	101	4413	8
1584	2019-01-20	Б	1	24	7	4	16	11	0	836000	2	17229	369	88	4958	8
1583	2019-01-17	А	4	5	41	4	39	23	0	812000	4	8274	230	135	3535	8
1582	2019-01-15	Б	1	5	29	25	24	31	0	791000	4	7407	218	128	3326	8
1581	2019-01-13	А	1	21	36	13	1	41	0	768000	3	11058	287	109	4030	8
1580	2019-01-10	Б	3	25	29	10	2	8	0	746000	2	15036	389	73	4202	8
1579	2019-01-08	А	1	12	35	15	31	45	0	726000	17	1604	259	99	2999	8
1578	2019-01-06	А	3	22	36	37	15	41	0	701000	5	7071	227	147	3377	8
1577	2019-01-03	Б	3	36	13	2	15	37	0	681000	4	6893	306	85	3615	8
1576	2019-01-01	Б	3	16	26	42	44	9	0	661000	2	14181	217	123	3193	8
1575	2018-12-30	А	2	26	19	3	22	16	0	634000	3	12581	425	83	5842	8
1574	2018-12-27	А	4	29	30	32	41	12	0	611000	7	4661	274	112	3836	8
1573	2018-12-25	А	3	3	42	8	7	44	0	592000	5	5348	297	85	3527	8
1572	2018-12-23	Б	4	25	14	17	1	40	0	562000	5	6603	322	96	4152	8
1571	2018-12-20	А	3	40	27	39	33	28	0	537000	8	3562	248	108	3139	8
1570	2018-12-18	Б	2	24	22	29	32	7	0	511000	11	2685	283	98	3858	8
1569	2018-12-16	Б	2	35	39	40	9	43	0	483000	12	2662	201	150	3207	8
1568	2018-12-13	А	1	8	3	42	21	4	0	461000	10	2489	289	81	3874	8
1567	2018-12-11	Б	2	5	25	3	33	15	0	436000	21	1347	456	58	3847	8
1566	2018-12-09	А	1	3	20	19	22	18	0	411000	9	3160	342	78	4405	8
1565	2018-12-06	Б	3	13	31	17	35	1	0	387000	8	3319	250	100	2931	8
1564	2018-12-04	Б	1	30	45	39	38	41	0	365000	2	12770	212	113	2650	8
1563	2018-12-02	Б	1	28	40	8	24	38	0	343000	10	2415	344	66	3551	8
1562	2018-11-29	А	2	28	36	17	34	18	0	321000	1	24468	139	166	2422	8
1561	2018-11-27	Б	3	17	6	42	28	23	0	303000	9	2260	321	59	3647	8
1560	2018-11-25	А	2	44	35	42	22	33	0	281000	12	1952	329	67	3515	8
1559	2018-11-22	А	2	38	26	34	39	16	0	260000	11	2097	311	70	3007	8
1558	2018-11-20	Б	1	12	19	7	42	13	0	236000	5	4268	254	79	2763	8
1557	2018-11-18	А	4	2	32	34	41	45	0	215000	8	2998	163	139	2416	8
1556	2018-11-15	А	3	22	38	18	27	34	0	196000	4	5321	187	107	2315	8
1555	2018-11-13	Б	1	15	10	42	36	16	0	179000	7	2563	364	46	3327	8
1554	2018-11-11	Б	2	43	34	21	2	30	0	158000	3	7845	161	138	2192	8
1553	2018-11-08	А	3	18	7	38	21	22	0	141000	5	3907	188	98	2513	8
1552	2018-11-06	Б	3	27	8	13	12	33	0	125000	7	2480	225	72	2278	8
1551	2018-11-04	А	3	32	23	8	11	38	0	108000	6	2966	213	78	2154	8
1550	2018-11-01	Б	1	33	45	1	29	13	0	95000	3	4751	187	71	2122	8
1549	2018-10-30	Б	1	24	23	38	20	14	0	77000	4	3353	131	96	1726	8
1548	2018-10-28	А	2	40	22	32	7	42	0	63000	4	3809	164	87	1606	8
1547	2018-10-25	Б	4	22	20	11	31	9	0	50000	2	6638	143	87	1668	8
1546	2018-10-23	А	4	42	9	17	15	10	1	243000	4	5414	175	116	2573	8
1545	2018-10-21	Б	1	3	2	15	8	12	0	224000	4	5199	268	73	3071	8
1544	2018-10-18	Б	4	2	3	22	1	32	0	205000	7	3055	208	97	2438	8
1543	2018-10-16	Б	4	40	37	28	24	22	0	189000	4	4609	140	124	1816	8
1542	2018-10-14	Б	3	10	16	37	5	41	0	171000	3	6583	172	108	2559	8
1541	2018-10-11	А	2	18	7	36	30	4	0	135000	0	0	159	113	2103	8
1540	2018-10-09	Б	3	31	25	17	43	7	0	120000	8	1974	120	124	1931	8
1539	2018-10-07	А	1	19	28	39	7	4	0	104000	8	2200	185	89	2100	8
1538	2018-10-04	Б	3	20	32	7	18	5	0	91000	10	1480	178	78	2143	8
1537	2018-10-02	Б	3	1	39	43	37	23	0	77000	5	3093	115	127	1535	8
1536	2018-09-30	А	1	29	45	13	44	19	0	63000	2	7518	107	132	1746	8
1535	2018-09-27	А	3	44	24	4	30	27	0	50000	2	6739	125	101	1753	8
1534	2018-09-25	Б	4	1	36	33	29	8	1	290000	31	715	281	74	2622	8
1533	2018-09-23	Б	3	40	11	37	30	42	0	267000	1	25459	116	207	2101	8
1532	2018-09-20	Б	4	26	24	42	21	17	0	249000	1	20051	206	91	2805	8
1531	2018-09-18	Б	2	45	42	6	37	41	0	231000	14	1456	244	78	2382	8
1530	2018-09-16	Б	1	23	31	34	36	42	0	210000	1	23528	165	134	2370	8
1529	2018-09-13	А	3	29	17	8	23	33	0	191000	10	1732	296	55	2848	8
1528	2018-09-11	А	4	32	40	13	19	5	0	174000	7	2640	184	94	2190	8
1527	2018-09-09	А	1	43	32	5	25	38	0	155000	9	2268	348	55	2708	8
1526	2018-09-06	Б	3	30	31	13	11	45	0	137000	3	6009	223	76	2153	8
1525	2018-09-04	А	4	21	41	26	8	23	0	123000	4	3865	256	57	2733	8
1524	2018-09-02	А	3	5	41	27	9	7	0	107000	3	5689	194	83	2428	8
1523	2018-08-30	Б	4	45	27	37	1	24	0	92000	2	8248	139	112	1592	8
1522	2018-08-28	А	4	24	37	19	45	17	0	78000	5	2906	154	89	1704	8
1521	2018-08-26	А	4	24	22	36	1	44	0	64000	3	4858	138	99	1784	8
1520	2018-08-23	А	2	8	40	9	7	28	0	50000	4	3669	164	84	2113	8
1519	2018-08-21	Б	3	31	15	14	29	18	1	1220000	3	11238	222	143	3706	8
1518	2018-08-19	Б	1	16	8	20	39	23	0	1202000	10	3720	332	105	4681	8
1517	2018-08-16	Б	2	45	29	19	8	21	0	1185000	8	4145	308	101	4121	8
1516	2018-08-14	Б	4	24	37	27	18	19	0	1169000	5	6414	307	98	3987	8
1515	2018-08-12	Б	3	8	20	26	32	22	0	1152000	8	4379	348	95	4424	8
1514	2018-08-09	Б	2	6	13	26	9	4	0	1136000	16	2062	409	76	4900	8
1513	2018-08-07	А	1	21	8	35	4	16	0	1120000	6	5528	349	89	4510	8
1512	2018-08-05	Б	1	24	42	20	33	9	0	1102000	3	12104	345	99	3857	8
1511	2018-08-02	Б	2	3	5	7	26	24	0	1087000	11	2712	327	86	4195	8
1510	2018-07-31	Б	3	34	21	20	16	4	0	1072000	14	2147	352	80	4386	8
1509	2018-07-29	Б	4	10	37	18	35	24	0	1053000	10	3783	311	114	3891	8
1508	2018-07-26	А	3	42	7	2	23	15	0	1037000	17	1863	400	74	4212	8
1507	2018-07-24	Б	3	8	17	14	4	12	0	1022000	20	1569	383	77	3676	8
1506	2018-07-22	Б	3	24	14	9	32	4	0	1004000	8	4619	371	94	4411	8
1505	2018-07-19	Б	4	27	22	31	41	8	0	988000	10	3138	370	80	4171	8
1504	2018-07-17	Б	2	40	22	6	3	15	0	973000	6	4963	285	98	4005	8
1503	2018-07-15	Б	1	23	11	12	26	40	0	953000	5	7875	365	101	4419	8
1502	2018-07-12	А	4	29	4	26	19	34	0	938000	5	5977	353	79	4172	8
1501	2018-07-10	Б	2	1	17	20	10	19	0	923000	5	5985	270	104	3663	8
1500	2018-07-08	Б	4	12	17	41	3	18	0	907000	8	4182	319	99	4155	8
1499	2018-07-05	А	3	38	20	42	45	33	0	893000	7	4155	292	94	3731	8
1498	2018-07-03	А	3	34	21	22	38	11	0	880000	10	2648	256	97	3350	8
1497	2018-07-01	А	3	19	10	32	7	14	0	866000	6	4515	273	93	3568	8
1496	2018-06-28	А	4	12	43	29	37	19	0	851000	4	7411	184	152	2590	8
1495	2018-06-26	А	1	41	33	29	10	38	0	837000	3	9026	330	77	4026	8
1494	2018-06-24	А	3	16	38	8	11	44	0	821000	7	4579	258	117	3802	8
1493	2018-06-21	Б	1	19	40	21	45	20	0	807000	7	4043	257	104	3348	8
1492	2018-06-19	А	4	44	20	37	17	24	0	788000	14	2338	334	92	4478	8
1491	2018-06-17	А	2	6	21	32	10	16	0	770000	5	6124	326	88	4543	8
1490	2018-06-14	А	3	38	34	36	45	19	0	753000	2	14212	161	166	2804	8
1489	2018-06-12	А	1	22	35	28	14	9	0	736000	8	3189	406	59	3711	8
1488	2018-06-10	Б	1	45	28	44	1	12	0	719000	6	4855	215	127	3184	8
1487	2018-06-07	Б	2	41	10	18	39	23	0	699000	9	3158	234	114	3215	8
1486	2018-06-05	Б	3	11	21	29	30	34	0	677000	16	1959	275	107	3333	8
1485	2018-06-03	А	3	1	21	23	5	36	0	658000	5	5433	214	119	3141	8
1484	2018-05-31	А	4	11	12	37	31	24	0	639000	10	2751	217	119	2863	8
1483	2018-05-29	А	4	28	2	7	33	38	0	622000	8	3071	268	86	3708	8
1482	2018-05-27	Б	3	13	9	41	18	44	0	603000	4	6691	331	76	3722	8
1481	2018-05-24	А	2	3	8	25	37	42	0	583000	1	27857	219	120	3197	8
1480	2018-05-22	А	2	39	36	41	15	21	0	561000	7	4318	233	122	3468	8
1479	2018-05-20	А	4	38	31	11	43	33	0	540000	10	2918	263	104	2973	8
1478	2018-05-17	А	2	3	5	33	29	43	0	514000	7	4047	256	104	4010	8
1477	2018-05-15	А	1	26	24	20	15	2	0	490000	6	4456	304	83	3773	8
1476	2018-05-13	Б	3	25	38	1	36	37	0	466000	6	4675	140	189	2531	8
1475	2018-05-10	А	2	39	4	19	6	27	0	445000	4	5961	200	112	2693	8
1474	2018-05-08	А	2	21	43	45	38	17	0	421000	6	4597	189	137	3064	8
1473	2018-05-06	А	4	6	23	33	21	8	0	400000	13	1802	304	72	3388	8
1472	2018-05-03	А	4	23	16	2	7	37	0	381000	4	5399	184	110	2349	8
1471	2018-05-01	Б	3	14	15	6	20	27	0	364000	3	6335	147	122	2171	8
1470	2018-04-29	Б	4	6	43	37	44	11	0	343000	7	3228	215	99	2509	8
1469	2018-04-26	Б	1	7	32	5	27	42	0	324000	12	1727	203	96	2784	8
1468	2018-04-24	А	1	2	16	4	45	22	0	304000	1	23051	239	91	2901	8
1467	2018-04-22	А	4	5	45	10	42	39	0	284000	7	3193	170	124	2487	8
1466	2018-04-19	А	1	8	26	36	28	42	0	267000	6	3122	297	59	2767	8
1465	2018-04-17	Б	4	9	19	6	15	17	0	250000	5	3803	207	86	2565	8
1464	2018-04-15	Б	4	44	7	25	14	6	0	232000	5	3998	182	103	2154	8
1463	2018-04-12	Б	4	13	44	16	21	6	0	212000	3	6115	158	109	2279	8
1462	2018-04-10	Б	1	22	44	27	30	13	0	197000	4	4293	148	109	2101	8
1461	2018-04-08	Б	4	29	20	18	25	9	0	181000	9	1876	168	94	2157	8
1460	2018-04-05	Б	4	23	45	10	24	35	0	164000	3	6336	105	170	1647	8
1459	2018-04-03	А	2	34	36	10	45	13	0	149000	4	4161	131	120	2239	8
1458	2018-04-01	Б	1	16	20	8	34	37	0	133000	3	5819	155	106	2111	8
1457	2018-03-29	А	4	1	29	33	3	14	0	119000	5	3202	177	85	2204	8
1456	2018-03-27	А	2	17	39	11	16	3	0	106000	2	7498	157	90	2031	8
1455	2018-03-25	А	1	21	9	25	43	8	0	92000	2	8058	155	98	1978	8
1454	2018-03-22	А	2	27	11	30	8	7	0	79000	3	4764	184	73	1987	8
1453	2018-03-20	А	3	29	43	2	4	22	0	66000	5	2745	105	123	1423	8
1452	2018-03-18	А	1	34	30	29	35	31	0	50000	6	2801	136	116	1567	8
1451	2018-03-15	А	3	20	43	18	31	38	1	1080000	18	2423	368	111	4504	8
1450	2018-03-13	А	3	17	38	9	7	22	0	1064000	13	2802	425	80	4894	8
1449	2018-03-11	А	2	14	17	44	33	18	0	1044000	24	1788	603	67	6832	8
1448	2018-03-08	А	4	34	27	44	21	40	0	1028000	9	4176	299	118	4537	8
1447	2018-03-06	А	4	24	45	42	30	6	0	1011000	1	38035	277	129	3680	8
1446	2018-03-04	А	2	29	15	43	23	24	0	995000	5	7508	180	196	3103	8
1445	2018-03-01	Б	2	44	16	14	29	25	0	979000	3	10635	176	171	3425	8
1444	2018-02-27	Б	2	23	24	33	35	44	0	966000	13	2342	363	79	3645	8
1443	2018-02-25	Б	1	22	29	36	42	27	0	952000	8	3972	361	83	4291	8
1442	2018-02-22	А	3	16	26	42	40	2	0	937000	9	3879	395	83	4376	8
1441	2018-02-20	А	2	26	4	6	34	43	0	924000	4	7365	219	127	3120	8
1440	2018-02-18	А	2	3	44	2	45	37	0	909000	9	3779	183	175	3419	8
1439	2018-02-15	Б	3	34	1	24	4	13	0	894000	5	6951	311	105	4078	8
1438	2018-02-13	А	2	29	21	7	19	17	0	882000	3	8894	428	58	4770	8
1437	2018-02-11	А	4	3	38	26	41	44	0	868000	3	10947	306	101	4045	8
1436	2018-02-08	Б	2	44	18	20	24	38	0	854000	6	5178	238	123	3395	8
1435	2018-02-06	А	2	20	38	28	43	23	0	842000	10	2762	312	83	3701	8
1434	2018-02-04	А	1	2	22	15	16	21	0	829000	6	4878	280	98	3188	8
1433	2018-02-01	Б	1	38	15	25	6	10	0	817000	12	2301	383	68	4057	8
1432	2018-01-30	Б	2	22	28	17	13	16	0	802000	2	15852	299	100	4034	8
1431	2018-01-28	Б	3	9	20	5	13	30	0	789000	13	2300	475	59	4279	8
1430	2018-01-25	А	1	11	28	33	37	29	0	772000	7	5468	258	140	3888	8
1429	2018-01-23	А	1	11	2	6	37	44	0	755000	13	2568	400	78	4057	8
1428	2018-01-21	Б	1	7	29	44	14	4	0	741000	21	1347	468	57	4433	8
1427	2018-01-18	Б	3	34	5	11	36	42	0	726000	4	7641	348	82	4067	8
1426	2018-01-16	А	1	22	14	17	39	28	0	712000	9	3255	225	123	3240	8
1425	2018-01-14	А	4	18	31	17	19	41	0	697000	7	4290	279	101	3496	8
1424	2018-01-11	Б	3	14	40	12	15	45	0	683000	6	4609	183	142	2944	8
1423	2018-01-09	Б	1	3	31	40	42	26	0	669000	4	7332	225	123	3036	8
1422	2018-01-07	Б	2	40	37	28	35	8	0	656000	6	4195	228	104	3129	8
1421	2018-01-04	Б	4	41	31	26	12	2	0	643000	3	8570	222	109	2895	8
1420	2018-01-02	Б	2	32	34	7	24	1	0	632000	6	3635	181	113	2417	8
1419	2017-12-31	Б	2	38	15	34	45	1	0	605000	8	4896	225	164	3790	8
1418	2017-12-28	А	4	32	41	45	44	35	0	585000	6	4892	228	121	2676	8
1417	2017-12-26	А	2	38	16	23	7	30	0	564000	14	1670	286	77	3155	8
1416	2017-12-24	Б	2	9	19	44	45	3	0	541000	8	3244	201	121	3546	8
1415	2017-12-21	А	4	28	2	35	17	6	0	520000	3	8166	208	111	2819	8
1414	2017-12-19	Б	3	6	22	24	15	14	0	498000	6	4096	204	113	2718	8
1413	2017-12-17	А	3	1	3	43	6	42	0	475000	2	13360	179	140	2458	8
1412	2017-12-14	А	1	33	10	41	31	3	0	456000	1	21554	167	121	2666	8
1411	2017-12-12	А	1	45	34	7	13	10	0	438000	8	2588	261	74	2927	8
1410	2017-12-10	Б	4	22	44	26	1	43	0	413000	2	11901	154	145	2274	8
1409	2017-12-07	А	2	8	23	32	33	29	0	395000	3	6931	214	91	2961	8
1408	2017-12-05	А	3	44	28	33	2	1	0	379000	13	1403	398	43	3487	8
1407	2017-12-03	А	2	15	25	12	41	40	0	359000	7	3257	183	117	2573	8
1406	2017-11-30	Б	1	25	31	17	38	32	0	342000	7	2826	216	86	2644	8
1405	2017-11-28	Б	1	18	42	35	7	17	0	324000	4	4966	201	93	2313	8
1404	2017-11-26	Б	2	14	26	18	37	13	0	312000	4	5261	156	127	2410	8
1403	2017-11-23	А	2	24	17	37	43	23	0	300000	4	5205	142	138	2010	8
1402	2017-11-21	А	2	22	7	27	21	6	0	290000	4	4188	302	52	3100	8
1401	2017-11-19	А	2	34	35	37	13	43	0	276000	6	3443	181	107	2281	8
1400	2017-11-16	А	3	12	20	23	33	35	0	265000	20	857	413	39	2649	8
1399	2017-11-14	Б	4	26	5	24	11	8	0	255000	5	3447	230	70	2484	8
1398	2017-11-12	Б	2	6	40	3	39	45	0	230000	0	0	153	120	2215	8
1397	2017-11-09	А	1	3	41	39	1	29	0	219000	4	4507	141	120	2113	8
1396	2017-11-07	Б	2	30	19	22	18	6	0	211000	5	3720	175	100	2071	8
1395	2017-11-05	Б	3	25	34	18	10	16	0	200000	2	9714	147	124	1987	8
1394	2017-11-02	А	4	10	28	31	44	16	0	182000	6	2976	138	122	1777	8
1393	2017-10-31	Б	1	28	11	42	36	15	0	172000	7	2421	121	132	1778	8
1392	2017-10-29	А	1	27	9	28	5	17	0	164000	10	1673	231	68	2496	8
1391	2017-10-26	Б	4	26	24	36	17	18	0	156000	6	2624	196	75	2261	8
1390	2017-10-24	А	1	16	45	29	37	13	0	148000	5	3220	109	139	1817	8
1389	2017-10-22	Б	1	26	21	28	30	19	0	140000	2	8663	154	106	2088	8
1388	2017-10-19	А	1	4	9	15	38	7	0	132000	4	3883	197	74	2135	8
1387	2017-10-17	Б	3	41	10	1	21	11	0	125000	9	1605	185	73	2110	8
1386	2017-10-15	Б	1	22	40	26	38	7	0	117000	11	1439	167	89	2174	8
1385	2017-10-12	А	4	30	24	44	5	25	0	107000	4	3929	97	153	1640	8
1384	2017-10-10	А	3	28	31	29	14	22	0	100000	2	7448	161	87	1699	8
1383	2017-10-08	А	4	31	30	16	19	27	0	90000	2	7919	166	90	1841	8
1382	2017-10-05	Б	4	22	12	3	24	17	0	80000	6	2185	162	76	1703	8
1381	2017-10-03	Б	4	6	1	14	3	23	0	74000	5	2487	118	99	1666	8
1380	2017-10-01	А	4	43	37	28	14	38	0	60000	2	6883	99	131	1446	8
1379	2017-09-28	А	3	37	33	30	17	8	1	279000	12	1553	173	101	2127	8
1378	2017-09-26	Б	4	10	8	34	33	37	0	267000	5	3422	117	138	2009	8
1377	2017-09-24	Б	2	24	27	14	37	23	0	246000	3	6083	155	111	2016	8
1376	2017-09-21	А	3	45	28	14	34	26	0	239000	1	15953	133	113	1836	8
1375	2017-09-19	Б	2	21	9	3	23	22	1	684000	11	2875	311	96	4665	8
1374	2017-09-17	Б	3	8	28	29	30	43	0	656000	5	5369	164	154	2676	8
1373	2017-09-14	Б	4	25	20	38	8	45	0	638000	1	23598	145	153	2370	8
1372	2017-09-12	Б	1	41	38	43	39	36	0	618000	4	6173	140	166	1899	8
1371	2017-09-10	Б	4	7	22	34	27	43	0	594000	10	2529	293	81	3117	8
1370	2017-09-07	Б	2	21	44	42	35	45	0	568000	2	10916	160	128	2181	8
1369	2017-09-05	А	1	13	44	24	10	26	0	550000	3	6620	223	84	2961	8
1368	2017-09-03	Б	2	20	22	8	39	14	0	530000	10	2139	226	89	2477	8
1367	2017-08-31	А	1	4	29	5	3	12	0	505000	5	4092	201	96	2521	8
1366	2017-08-29	Б	3	38	33	5	20	36	0	485000	6	3266	190	97	2284	8
1365	2017-08-27	А	4	41	21	12	23	27	0	468000	8	2344	222	79	2472	8
1364	2017-08-24	А	1	16	15	24	1	5	0	451000	6	2982	167	101	2602	8
1363	2017-08-22	А	2	21	33	44	9	23	0	431000	7	3196	205	103	2952	8
1362	2017-08-20	Б	3	43	44	22	40	41	0	411000	6	3629	142	144	2140	8
1361	2017-08-17	Б	3	1	23	39	36	11	0	393000	1	18891	162	110	2145	8
1360	2017-08-15	А	1	45	34	32	40	41	0	376000	2	9003	137	124	2131	8
1359	2017-08-13	А	2	21	14	39	24	15	0	358000	2	9796	182	101	2445	8
1358	2017-08-10	Б	4	12	8	26	31	17	0	341000	7	2662	179	98	2422	8
1357	2017-08-08	Б	1	3	25	11	39	29	0	324000	4	4525	195	87	2473	8
1356	2017-08-06	А	4	20	12	8	44	17	0	294000	4	4635	178	98	1969	8
1355	2017-08-03	А	2	15	14	38	4	24	0	278000	4	4061	110	139	1757	8
1354	2017-08-01	Б	1	17	27	1	9	32	0	257000	6	2661	196	76	2062	8
1353	2017-07-30	Б	1	39	8	34	4	17	0	241000	4	4220	175	91	2222	8
1352	2017-07-27	А	1	16	34	17	23	31	0	233000	6	2757	167	93	2196	8
1351	2017-07-25	Б	3	40	17	43	25	1	0	225000	3	5664	122	131	2089	8
1350	2017-07-23	Б	4	14	44	7	45	21	0	216000	6	2965	214	78	2278	8
1349	2017-07-20	Б	3	43	20	10	12	28	0	208000	1	16884	159	100	2100	8
1348	2017-07-18	А	2	16	33	25	15	2	0	200000	8	2185	133	124	1801	8
1347	2017-07-16	А	1	37	33	17	9	15	0	192000	4	4190	169	93	2201	8
1346	2017-07-13	Б	2	34	10	6	30	16	0	185000	3	5447	126	122	1771	8
1345	2017-07-11	А	1	27	25	45	21	20	0	178000	4	3743	149	94	1997	8
1344	2017-07-09	А	2	30	27	43	33	6	0	162000	0	0	104	152	1824	8
1343	2017-07-06	Б	4	24	27	29	7	22	0	155000	2	7115	133	101	1975	8
1342	2017-07-04	Б	4	41	36	37	38	14	0	148000	2	7384	109	127	1604	8
1341	2017-07-02	Б	1	14	10	17	6	44	0	142000	4	3335	123	102	1656	8
1340	2017-06-29	А	2	15	11	38	18	44	0	128000	0	0	57	197	1197	8
1339	2017-06-27	Б	4	26	25	5	39	29	0	122000	5	2647	150	83	1764	8
1338	2017-06-25	А	1	26	12	11	36	5	0	116000	7	2203	182	80	2062	8
1337	2017-06-22	Б	2	16	2	10	12	27	0	110000	10	1461	180	76	2051	8
1336	2017-06-20	А	1	12	3	30	33	6	0	104000	2	6997	201	65	1858	8
1335	2017-06-18	А	3	23	42	38	35	6	0	98000	5	3111	114	128	1808	8
1334	2017-06-15	А	1	36	20	31	15	30	0	92000	2	7475	108	130	1472	8
1333	2017-06-13	А	4	11	16	27	43	7	0	86000	3	4583	118	110	1593	8
1332	2017-06-11	Б	2	44	40	45	20	28	0	80000	3	4704	100	133	1442	8
1331	2017-06-08	А	3	45	17	22	16	19	0	75000	1	13167	133	93	1622	8
1330	2017-06-06	Б	3	29	16	6	28	26	0	70000	2	5635	133	80	1557	8
1329	2017-06-04	Б	4	11	36	13	24	30	0	65000	3	4222	99	120	1494	8
1328	2017-06-01	Б	3	29	12	1	27	43	0	60000	5	2591	106	115	1358	8
1327	2017-05-30	Б	3	45	22	31	25	4	0	55000	0	0	104	112	1303	8
1326	2017-05-28	Б	1	11	6	9	8	15	0	50000	2	6168	153	76	1772	8
1325	2017-05-25	А	4	31	35	32	22	44	1	56000	15	960	130	104	1397	8
1324	2017-05-23	А	1	20	1	32	11	27	0	50000	1	13635	139	92	1665	8
1323	2017-05-21	А	2	23	33	3	26	21	1	444000	13	1447	336	52	2990	8
1322	2017-05-18	А	1	20	15	38	26	27	0	436000	2	9496	186	96	2526	8
1321	2017-05-16	А	4	30	45	42	12	14	0	427000	4	5502	135	153	2072	8
1320	2017-05-14	А	1	42	32	35	7	20	0	418000	2	10671	183	110	2204	8
1319	2017-05-11	А	2	37	44	24	3	11	0	410000	3	6150	178	97	2040	8
1318	2017-05-09	Б	2	10	7	4	2	9	0	400000	8	2172	172	95	2234	8
1317	2017-05-07	А	1	23	14	35	9	40	1	1880000	11	3515	337	108	4749	8
1316	2017-05-04	А	2	22	35	29	34	28	0	1850000	16	2145	303	106	3642	8
1315	2017-05-02	А	1	40	29	45	24	28	0	1825000	8	3974	210	143	3228	8
1314	2017-04-30	Б	3	37	24	43	41	32	0	1790000	9	4195	239	149	3362	8
1313	2017-04-27	А	2	42	10	8	3	29	0	1760000	5	6672	304	103	4220	8
1312	2017-04-25	А	1	33	9	34	32	38	0	1730000	5	6733	256	124	3880	8
1311	2017-04-23	А	3	9	3	41	18	35	0	1680000	8	6974	381	138	5285	8
1310	2017-04-20	А	4	36	2	14	26	41	0	1655000	3	10295	281	103	3849	8
1309	2017-04-18	А	4	24	3	1	44	5	0	1630000	10	2638	245	101	3055	8
